Chromosome	Physical_Position_Build36(hg18)	Genetic_Map(cM)
chr10	88481	0
chr10	94427	3.55E-08
chr10	116070	1.70E-07
chr10	121636	2.03E-07
chr10	125656	2.27E-07
chr10	125708	2.28E-07
chr10	125853	2.28E-07
chr10	129676	2.48E-07
chr10	133543	2.73E-07
chr10	138325	2.96E-07
chr10	141997	3.16E-07
chr10	142201	3.16E-07
chr10	144552	3.28E-07
chr10	148946	3.56E-07
chr10	152102	5.58E-07
chr10	165308	7.41E-07
chr10	173151	8.34E-07
chr10	178805	1.02E-06
chr10	191183	1.12E-06
chr10	191762	1.12E-06
chr10	193471	1.13E-06
chr10	199448	1.16E-06
chr10	205705	1.20E-06
chr10	208336	1.40E-06
chr10	214255	1.44E-06
chr10	220625	1.47E-06
chr10	226452	1.50E-06
chr10	227750	1.51E-06
chr10	234561	1.54E-06
chr10	242693	1.58E-06
chr10	245222	1.60E-06
chr10	246614	1.61E-06
chr10	250544	1.63E-06
chr10	258408	1.67E-06
chr10	263344	1.70E-06
chr10	264224	1.72E-06
chr10	269248	1.92E-06
chr10	272897	1.93E-06
chr10	275002	1.94E-06
chr10	281134	2.07E-06
chr10	281999	2.07E-06
chr10	282927	2.07E-06
chr10	284145	2.08E-06
chr10	284165	2.08E-06
chr10	284953	2.08E-06
chr10	287633	2.29E-06
chr10	291938	2.32E-06
chr10	297807	2.57E-06
chr10	300225	2.58E-06
chr10	303304	2.60E-06
chr10	303504	2.60E-06
chr10	305644	2.61E-06
chr10	310954	2.81E-06
chr10	311608	2.81E-06
chr10	313283	2.82E-06
chr10	315841	3.00E-06
chr10	316214	3.17E-06
chr10	316894	3.47E-06
chr10	317832	3.55E-06
chr10	318070	3.55E-06
chr10	319493	3.56E-06
chr10	321398	3.57E-06
chr10	321620	3.57E-06
chr10	321763	3.57E-06
chr10	322199	3.57E-06
chr10	324799	3.59E-06
chr10	326805	3.60E-06
chr10	328553	3.61E-06
chr10	339223	3.67E-06
chr10	339241	3.67E-06
chr10	341390	3.68E-06
chr10	343306	3.70E-06
chr10	343589	3.70E-06
chr10	344301	3.70E-06
chr10	345430	3.70E-06
chr10	346784	3.71E-06
chr10	347599	3.72E-06
chr10	347849	3.72E-06
chr10	354065	3.95E-06
chr10	354399	3.95E-06
chr10	363048	4.01E-06
chr10	370594	4.05E-06
chr10	377060	4.10E-06
chr10	379283	4.11E-06
chr10	384714	4.14E-06
chr10	385584	4.14E-06
chr10	389104	4.16E-06
chr10	389914	4.18E-06
chr10	397584	4.35E-06
chr10	402449	4.37E-06
chr10	403010	4.38E-06
chr10	403440	4.38E-06
chr10	413211	4.46E-06
chr10	413555	4.46E-06
chr10	413671	4.46E-06
chr10	414200	4.46E-06
chr10	414398	4.47E-06
chr10	416966	4.48E-06
chr10	418076	4.51E-06
chr10	418503	4.53E-06
chr10	419977	4.57E-06
chr10	421161	4.61E-06
chr10	421803	4.63E-06
chr10	426547	4.97E-06
chr10	427940	5.02E-06
chr10	435061	5.27E-06
chr10	443567	5.73E-06
chr10	447725	5.88E-06
chr10	448477	5.90E-06
chr10	452298	6.14E-06
chr10	452628	6.16E-06
chr10	452885	6.17E-06
chr10	453246	6.18E-06
chr10	455649	6.19E-06
chr10	456286	6.19E-06
chr10	456830	6.37E-06
chr10	457785	6.68E-06
chr10	458133	6.77E-06
chr10	458183	6.78E-06
chr10	458599	6.89E-06
chr10	458748	6.89E-06
chr10	459349	6.90E-06
chr10	468453	7.03E-06
chr10	474159	7.12E-06
chr10	477973	7.18E-06
chr10	479656	7.19E-06
chr10	481349	7.20E-06
chr10	485452	7.30E-06
chr10	489188	7.32E-06
chr10	489573	7.32E-06
chr10	490786	7.32E-06
chr10	494878	7.42E-06
chr10	504138	7.50E-06
chr10	505870	7.51E-06
chr10	506981	7.56E-06
chr10	508156	7.61E-06
chr10	508199	7.61E-06
chr10	516773	7.88E-06
chr10	521982	8.04E-06
chr10	522139	8.05E-06
chr10	522162	8.05E-06
chr10	523331	8.06E-06
chr10	530682	8.52E-06
chr10	532167	8.62E-06
chr10	537097	8.94E-06
chr10	537658	8.94E-06
chr10	541086	8.98E-06
chr10	541157	8.98E-06
chr10	542355	8.99E-06
chr10	542396	8.99E-06
chr10	544186	9.03E-06
chr10	546129	9.27E-06
chr10	549315	9.42E-06
chr10	550600	9.67E-06
chr10	551952	9.89E-06
chr10	556195	1.09E-05
chr10	556379	1.10E-05
chr10	556395	1.10E-05
chr10	557325	1.10E-05
chr10	560172	1.10E-05
chr10	562435	1.10E-05
chr10	567444	1.10E-05
chr10	568995	1.11E-05
chr10	569869	1.12E-05
chr10	573548	1.29E-05
chr10	577223	1.36E-05
chr10	578126	1.39E-05
chr10	578406	1.39E-05
chr10	578609	1.39E-05
chr10	579196	1.39E-05
chr10	579228	1.39E-05
chr10	580418	1.40E-05
chr10	582283	1.40E-05
chr10	582926	1.40E-05
chr10	585504	1.40E-05
chr10	585877	1.41E-05
chr10	588279	1.42E-05
chr10	591089	1.46E-05
chr10	591114	1.46E-05
chr10	591355	1.46E-05
chr10	595525	1.49E-05
chr10	599945	1.51E-05
chr10	605782	1.57E-05
chr10	606610	1.58E-05
chr10	608409	1.61E-05
chr10	608685	1.62E-05
chr10	608841	1.62E-05
chr10	609316	1.63E-05
chr10	609761	1.64E-05
chr10	611338	1.68E-05
chr10	613410	1.72E-05
chr10	626509	2.15E-05
chr10	627965	2.20E-05
chr10	629750	2.25E-05
chr10	631961	2.33E-05
chr10	632943	2.37E-05
chr10	634732	2.47E-05
chr10	635916	2.52E-05
chr10	640646	2.73E-05
chr10	647644	3.07E-05
chr10	652193	3.30E-05
chr10	652688	3.33E-05
chr10	657993	3.57E-05
chr10	659358	3.61E-05
chr10	661495	3.71E-05
chr10	668000	3.95E-05
chr10	670428	4.04E-05
chr10	670475	4.04E-05
chr10	677569	4.32E-05
chr10	678424	4.35E-05
chr10	679602	4.40E-05
chr10	680039	4.42E-05
chr10	686237	4.66E-05
chr10	687749	4.72E-05
chr10	689089	4.76E-05
chr10	694460	4.89E-05
chr10	697782	4.99E-05
chr10	698293	5.00E-05
chr10	698360	5.01E-05
chr10	698697	5.01E-05
chr10	709803	5.32E-05
chr10	713116	5.41E-05
chr10	719762	5.55E-05
chr10	724229	5.66E-05
chr10	728630	5.79E-05
chr10	729162	5.80E-05
chr10	731015	5.89E-05
chr10	733836	6.00E-05
chr10	734039	6.02E-05
chr10	739238	6.31E-05
chr10	742193	6.51E-05
chr10	744033	6.66E-05
chr10	746109	6.75E-05
chr10	746187	6.75E-05
chr10	746887	6.79E-05
chr10	746996	6.79E-05
chr10	748971	6.96E-05
chr10	749268	6.97E-05
chr10	749276	6.97E-05
chr10	749497	6.99E-05
chr10	751907	7.12E-05
chr10	752288	7.13E-05
chr10	752872	7.16E-05
chr10	756909	7.57E-05
chr10	757395	7.62E-05
chr10	760979	7.84E-05
chr10	761532	7.86E-05
chr10	761769	7.87E-05
chr10	763712	7.99E-05
chr10	765824	8.17E-05
chr10	766544	8.22E-05
chr10	768091	8.96E-05
chr10	768233	9.03E-05
chr10	770293	9.99E-05
chr10	771124	0.000103789
chr10	775157	0.000106807
chr10	777896	0.000108587
chr10	778524	0.000108903
chr10	787490	0.000114622
chr10	790213	0.000116204
chr10	790368	0.00011625
chr10	792272	0.000117531
chr10	793721	0.000118107
chr10	794315	0.000118499
chr10	801876	0.000126704
chr10	803426	0.000128178
chr10	804216	0.000128928
chr10	805149	0.00012981
chr10	805221	0.000129864
chr10	808851	0.000132332
chr10	809904	0.000133114
chr10	810868	0.000133741
chr10	811035	0.000133936
chr10	814693	0.000138058
chr10	818288	0.000146931
chr10	821747	0.000162492
chr10	822542	0.000167679
chr10	824626	0.000190844
chr10	824736	0.00019211
chr10	826115	0.000206435
chr10	827079	0.000217748
chr10	827450	0.000218359
chr10	828179	0.000221671
chr10	828378	0.00022214
chr10	839979	0.000241502
chr10	840762	0.000242486
chr10	844011	0.000248124
chr10	847151	0.000252272
chr10	848033	0.000254079
chr10	848394	0.000254349
chr10	849270	0.000255935
chr10	851390	0.000259651
chr10	851837	0.000260186
chr10	853964	0.000262535
chr10	855214	0.000263773
chr10	855476	0.000264063
chr10	861278	0.000288583
chr10	868895	0.000320107
chr10	871115	0.000328622
chr10	876259	0.000349579
chr10	878073	0.000354506
chr10	884838	0.000375047
chr10	891244	0.000393979
chr10	893950	0.00040401
chr10	900983	0.000427196
chr10	901291	0.000428127
chr10	906268	0.00044606
chr10	906818	0.000448275
chr10	910441	0.00046245
chr10	917331	0.000489781
chr10	917933	0.000491888
chr10	919133	0.000497019
chr10	926103	0.000525949
chr10	927047	0.000530821
chr10	934496	0.000566499
chr10	934641	0.000567149
chr10	939397	0.000592369
chr10	946400	0.000630251
chr10	954306	0.000674442
chr10	957295	0.000690225
chr10	959377	0.000699723
chr10	960426	0.000704013
chr10	960524	0.000707019
chr10	971015	0.00105781
chr10	973498	0.001142307
chr10	974970	0.0012005
chr10	975264	0.00121404
chr10	979533	0.001412725
chr10	981737	0.001511821
chr10	981966	0.001517574
chr10	984753	0.001574449
chr10	991541	0.002193869
chr10	998627	0.002811593
chr10	1001958	0.003016753
chr10	1003535	0.00311343
chr10	1004603	0.003150244
chr10	1006110	0.00319544
chr10	1006601	0.003197874
chr10	1006748	0.003198677
chr10	1007325	0.003202698
chr10	1008585	0.003250383
chr10	1009115	0.003267514
chr10	1014214	0.003443824
chr10	1020987	0.003636223
chr10	1022568	0.003680599
chr10	1024412	0.003722747
chr10	1024895	0.003724061
chr10	1025034	0.003724214
chr10	1027091	0.003729657
chr10	1027191	0.003729758
chr10	1030138	0.003739855
chr10	1030798	0.003742147
chr10	1032823	0.003748852
chr10	1033058	0.003749441
chr10	1033469	0.00375048
chr10	1033798	0.003751816
chr10	1036712	0.003765825
chr10	1037226	0.003769244
chr10	1037790	0.003772977
chr10	1038343	0.003775439
chr10	1038398	0.00377563
chr10	1042950	0.003795382
chr10	1043329	0.003799184
chr10	1044995	0.003811314
chr10	1046252	0.003821337
chr10	1048837	0.003844945
chr10	1051862	0.003872857
chr10	1055191	0.003998785
chr10	1055710	0.004016259
chr10	1055787	0.004016405
chr10	1057284	0.004091138
chr10	1058639	0.004139352
chr10	1058802	0.004139662
chr10	1060461	0.005214283
chr10	1061701	0.005995153
chr10	1063684	0.0060274
chr10	1065777	0.006128874
chr10	1070873	0.006382281
chr10	1071259	0.006415494
chr10	1071293	0.006415805
chr10	1071882	0.006443216
chr10	1074360	0.006501153
chr10	1077551	0.006515393
chr10	1079616	0.006526173
chr10	1080988	0.006535054
chr10	1081195	0.006535996
chr10	1086538	0.006590371
chr10	1090064	0.006655292
chr10	1091535	0.006731376
chr10	1095019	0.006882152
chr10	1097341	0.006990484
chr10	1100464	0.007066707
chr10	1106294	0.008903822
chr10	1106999	0.008910296
chr10	1107514	0.008915187
chr10	1109203	0.008928053
chr10	1114531	0.00895784
chr10	1115769	0.008965702
chr10	1116293	0.008969073
chr10	1118216	0.008980267
chr10	1119527	0.008988777
chr10	1119814	0.008990701
chr10	1122132	0.009004075
chr10	1122215	0.009006464
chr10	1125248	0.009030687
chr10	1128620	0.009063333
chr10	1129183	0.009069144
chr10	1131749	0.009095501
chr10	1132208	0.009105068
chr10	1132424	0.009109207
chr10	1132750	0.009123247
chr10	1134630	0.009188988
chr10	1135182	0.009205903
chr10	1138835	0.009318862
chr10	1141620	0.009397915
chr10	1141723	0.00939895
chr10	1146165	0.009674193
chr10	1146487	0.009689237
chr10	1146864	0.009704652
chr10	1149566	0.009816869
chr10	1150736	0.009851383
chr10	1156400	0.010020566
chr10	1158267	0.010534323
chr10	1158563	0.011478742
chr10	1159052	0.015567689
chr10	1160496	0.016698909
chr10	1161734	0.017655574
chr10	1161823	0.01765639
chr10	1162839	0.018376556
chr10	1163670	0.020037246
chr10	1169519	0.023890854
chr10	1171623	0.024051184
chr10	1172123	0.024087174
chr10	1172447	0.025420756
chr10	1173713	0.026334734
chr10	1173739	0.026335029
chr10	1175306	0.027012376
chr10	1177512	0.027376634
chr10	1178270	0.027393816
chr10	1178555	0.027398657
chr10	1185886	0.027544178
chr10	1185959	0.027545616
chr10	1187752	0.027571699
chr10	1189313	0.027594533
chr10	1189671	0.027597743
chr10	1190445	0.027604087
chr10	1191564	0.027622704
chr10	1191717	0.027625093
chr10	1192057	0.027630745
chr10	1193168	0.027648768
chr10	1193312	0.027650968
chr10	1195572	0.027687727
chr10	1196798	0.027709247
chr10	1196834	0.027709856
chr10	1197809	0.027717391
chr10	1198148	0.027728866
chr10	1198271	0.027729086
chr10	1199724	0.027735668
chr10	1200041	0.027737159
chr10	1201558	0.027745923
chr10	1202635	0.027751543
chr10	1204078	0.027767424
chr10	1206861	0.027796072
chr10	1208030	0.027808013
chr10	1209013	0.027815934
chr10	1209153	0.027815935
chr10	1209371	0.027819407
chr10	1213742	0.027903346
chr10	1214336	0.027913444
chr10	1214459	0.02791453
chr10	1214599	0.027922021
chr10	1215757	0.028758219
